"FdSpawnFertID","FdSpawningAreaID","LkupSpawnFertStage","VLMonth","Peaks/Notes"
"3762","182","2","January","Peak Spawning"
"3763","182","2","February","Peak Spawning"
"3764","182","2","March",""
"3773","182","2","December","Peak Spawning"
"3774","180","2","January",""
"3775","180","2","February",""
"3776","180","2","March",""
"3785","180","2","December",""
"3786","173","2","January",""
"3787","173","2","February",""
"3788","173","2","March",""
"3798","171","2","January","Peak Spawning"
"3799","171","2","February",""
"3800","171","2","March",""
"3808","171","2","November",""
"3809","171","2","December","Peak Spawning"
"3810","176","2","January","Peak Spawning"
"3811","176","2","February","Peak Spawning"
"3812","176","2","March",""
"3820","176","2","November",""
"3821","176","2","December","Peak Spawning"
"3824","145","6","March",""
"3825","145","6","April",""
"3826","145","6","May",""
"3827","145","6","June",""
"3828","145","6","July",""
"3829","145","6","August",""
"3830","145","6","September",""
"3831","145","6","October",""
"3838","147","6","May",""
"3839","147","6","June","Peak Spawning"
"3840","147","6","July","Peak Spawning"
"3841","147","6","August","Peak Spawning"
"3842","147","6","September",""
"3843","147","6","October",""
"3850","146","6","May",""
"3851","146","6","June",""
"3852","146","6","July",""
"3853","146","6","August",""
"3854","146","6","September",""
"3855","146","6","October",""
"3861","148","6","April",""
"3862","148","6","May",""
"3863","148","6","June",""
"3864","148","6","July",""
"3865","148","6","August",""
"3866","148","6","September",""
"3867","148","6","October",""
