"ReferenceName","FoodTypeID"
"822","351"
"635","351"
"1439","351"
"613","351"
"842","351"
"996","352"
"443","356"
"450","356"
"38","356"
"1319","356"
"504","356"
"817","356"
"454","356"
"842","356"
"443","358"
"1098","358"
"230","358"
"1347","358"
"723","358"
"1128","358"
"914","358"
"635","358"
"842","358"
"1285","574"
"1285","573"
"1285","572"
"1187","572"
"1098","572"
"453","572"
"817","572"
"443","572"
"952","51"
"1104","52"
"1194","52"
"107","52"
"952","52"
"593","52"
"1195","52"
"842","52"
"1350","53"
"1194","653"
"659","653"
"1194","654"
"319","654"
"842","654"
"453","48"
"177","49"
"1104","49"
"1194","49"
"995","49"
"417","49"
"651","49"
"658","49"
"659","49"
"485","49"
"932","49"
"203","49"
"698","49"
"655","49"
"593","49"
"725","49"
"1307","49"
"842","49"
"651","50"
"657","50"
"698","50"
"655","50"
"577","650"
"1194","650"
"995","650"
"107","650"
"659","650"
"454","650"
"203","650"
"655","650"
"725","650"
"319","650"
"842","650"
"657","651"
"655","651"
"203","652"
"453","391"
"454","391"
"982","613"
"443","611"
"817","611"
"1098","612"
"1096","163"
"91","353"
"92","353"
"626","351"
"1500","519"
"1500","513"
"1500","520"
"1138","408"
