"ID","Reference_Name","Citation_Description"
"1871","Kirnosova, I.P. 1989.","Reproduction of spiny dogfish, Squalus acanthias in the Black Sea. Journal of Ichthyology 29(3):21-26."
"1872","Kline, D.E. 1996.","Radiochemical age verification for two deep-sea rockfishes Sebastolobus altivelis and S. alascanus. M.S. Thesis, San Jose State University. 124 p."
"1873","Klingbeil, R. and E.H. Knaggs. 1976.","Southern range extension of the blue rockfish, Sebastes mystinus, the flag rockfish, S. rubrivinctus, and the shortbelly rockfish, S. jordani. California Department of Fish and Game 62(2):160."
"1874","Klingbeil, R.A. 1972.","A comparative study of the food and feeding of the teleostean fishes in Anaheim Bay, California. M.A. Thesis, California State University Long Beach. 129 p."
"1875","Klyashtorin, L.B. 1970.","Study of the greenlings (Hexagrammidae, Pisces) of the Kurile Islands. In: T.S. Rass (Editor), Greenlings: Taxonomy, Biology, Interoceanic Transplantation, p. 107-120. Academy of Sciences of the USSR, Transactions of the Institute of Oceanology, Volume 59. Translated from Russian by the Israel Program for Scientific Translations, Jerusalem."
"1876","Knapp, R., J.C. Wingfield, and A.H. Bass. 1999.","Steroid hormones and paternal care in the plainfin midshipman fish (Porichthys notatus). Hormones and Behavior 35:81-89."
"1877","Knapp, R.A., P.C. Sikkel, and V.T. Vredenburg. 1995.","Age of clutches in nests and the within-nest spawning-site preference of three damselfish species (Pomacentridae). Copeia 1995(1):78-88."
"1878","Knudtson, B. 1977.","Notes on the behavior of elasmobranch fishes exposed to magnetic fields. Southern California Academy of Sciences 76(3):202-205."
"1879","Kramer, D. and P.E. Smith. 1973","Seasonal and geographic characteristics of fishery resources, California Current region: IX. Inshore sportfishes. Marine Fisheries Review 35(5-6):15-18."
"1880","Kramer, S.H. 1991.","Growth, mortality, and movements of juvenile California halibut Paralichthys californicus in shallow coastal and bay habitats of San Diego County, California. Fishery Bulletin 89(2):195-207."
"1881","Kramer, S.H. and S.F.S. Center. 1991.","Distribution and abundance of juvenile California halibut, Paralichthys californicus, in shallow waters of San Diego County. California Department of Fish and Game, Fish Bulletin 174:99-126."
"1882","Kramer, S.H. and J.S. Sunada. 1992.","Flatfishes: California halibut. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 94-97. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1883","Kramer, D.E., W.H. Barss, B.C. Paust, and B.E. Bracken. 1995.","Guide to Northeast Pacific flatfishes: Families Bothidae, Cynoglossidae, and Pleuronectidae. Marine Advisory Bulletin No. 47, Sea Grant College Program, University of Alaska, Fairbanks, 104 p."
"1884","Krasnow, L.D. 1978.","The feeding energetics of the sooty shearwater, Puffinus griseus, in Monterey Bay. M.S. Thesis, California State University Sacramento. 47 p."
"1885","Kravitz, M.J., W.G. Pearcy, and M.P. Guin. 1977.","Food of five species of cooccuring flatfishes on Oregon's continental shelf. Fishery Bulletin 74(4):984-990."
"1886","Krigsman, L.M. 2000.","A review of larval duration for Pacific coast temperate reek fishes; including kelp rockfish, Sebastes atrovirens. Senior Thesis, University of California Santa Cruz. 32 p."
"1887","Kritzler, H., D.L. Fox, C.L. Hubbs, and S.C. Crane. 1950.","Carotenoid pigmentation of the pomacentrid fish Hypsypops rubicunda. Copeia 1950(2):125-138."
"1888","Kruse, G.O.W. 1977.","Some digenetic trematodes from fishes of the Bering Sea with the descriptions of Prosorhynchus mizellei sp.n. (Bucephalidae) and Pseudopecoelus nossamani sp.n. (Opecoelidae). Proceedings of the Helminthological Society of Washington 44(1):73-76."
"1889","Kruse, G.H. and A.V. Tyler. 1983.","Simulation of temperature and upwelling effects on the English sole (Parophrys vetulus) spawning season. Canadian Journal of Fisheries and Aquatic Science 40:230-237."
"1890","Kruse, G.H. and A.V. Tyler. 1989.","Exploratory simulation of English sole recruitment mechanisms. Transactions of the American Fishery Society 118(2):101-115."
"1891","Krygier, E.E. and W.G. Pearcy. 1986.","The role of estuarine and offshore nursery areas for young English sole, Parophrys vetulus Girard, of Oregon. Fishery Bulletin 84(1):119-132."
"1892","Kusher, D.I., S.E. Smith, and G.M. Cailliet. 1992.","Validated age and growth of the leopard shark, Triakis semifasciata, with comments on reproduction. Environmental Biology of Fishes 35:187-203."
"1893","Lagios, M.D. 1965.","Seasonal changes in the cytology of the adenohypophysis, testes, and ovaries of the black surfperch, Embiotoca jacksoni, a viviparous percomorph fish. General and Comparative Endocrinology 5:207-221."
"1894","Laidig, T.E. and K.M. Sakuma. 1998.","Description of pelagic larval and juvenile grass rockfish, Sebastes rastrelliger (family Scorpaenidae), with an examinaton of age and growth. Fishery Bulletin 96(4):788-796."
"1895","Laidig, T.E., K.M. Sakuma, and M.M. Nishimoto. 1996.","Description of pelagic larval and juvenile stripetail rockfish, Sebastes saxicola (family Scorpaenidae), with an examination of larval growth. Fishery Bulletin 94(2):289-299."
"1896","Laidig, T.E., P.B. Adams, K.R. Silberberg, and H.E. Fish. 1997.","Conversions between total, fork, and standard lengths for lingcod, Ophiodon elongatus. California Fish and Game 83(3):128-129."
"1897","Laidig, T.E., D.E. Pearson, and L.L. Sinclair. DRAFT IN PREP (2000).","Age and growth of blue rockfish (Sebastes mystinus) from central and southern California."
"1898","Lane, E.D. 1975.","Quantitative aspects of the life history of the diamond turbot, Hysopsetta guttulata (Girard), in Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:153-172."
"1899","Lane, E.D., M.C.S. Kingsley, and D.E. Thornton. 1979.","Daily feeding and food conversion efficiency of the diamond turbot: an analysis based on field data. Transactions of the American Fishery Society 108:530-535."
"1900","Lang, G.M., P.A. Livingston, and B.S. Miller. 1995.","Food habits of three congeneric flatfishes: yellowfin sole (Pleuronectes asper), rock sole (P. bilineatus), and Alaska plaice (P. quadrituberculatus) in the Eastern Bering Sea. In: Proceedings Of The International Symposium On North Pacific Flatfish, pp. 225-246. Alaska Sea Grant College Program, Fairbanks, Alaska."
"1901","LaRiviere, M.G., D.D. Jessup, and S.B. Mathews. 1981.","Lingcod, Ophiodon elongatus, spawning and nesting in San Juan Channel, Washington. California Fish and Game 67(4):231-239."
"1902","Laroche, W.A. and S.J. Richardson. 1980.","Development and occurrence of larvae and juveniles of the rockfishes Sebastes flavidus and Sebastes melanops (Scorpaenidae) off Oregon. Fishery Bulletin 77(4):901-923."
"1903","Laroche, J.L. 1982.","Growth during metamorphosis of English sole, Parophrys vetulus. Fishery Bulletin 80(1):150-153."
"1904","Laroche, J.L., S.L. Richardson, and A.A. Rosenberg. 1982.","Age and growth of a pleuronectid, Parophrys vetulus, during the pelagic larval period in Oregon coastal waters. Fishery Bulletin 80(1):93-104."
"1905","Larson, R.J. and E.E. DeMartini. 1984.","Abundance and vertical distribution of fishes in a cobble-bottom kelp forest off San Onofre, California. Fishery Bulletin 82(1):37-53."
"1906","Larson 1972, 1977","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1907","Larson, R.J. 1977.","Habitat selection and territorial competition as the casuse of bathymetric segregation of sibling rockfishes (Sebastes). Ph.D. Thesis, University of California Santa Barbara. 170 p."
"1908","Larson, R.J. 1991.","Seasonal cycles of reserves in relation to reproduction in Sebastes. Environmental Biology of Fishes 30:57-70."
"1909","Larson, R.J. 1992.","Other nearshore rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 130-131. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1910","Lassuy, D.R. 1989.","Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (Pacific Northwest). English sole. U.S. Fish and Wildlife Service Biological Report 82(11.101), 17 p."
"1911","Laur, D.R. and A.W. Ebeling. 1983.","Predator-prey relationships in surfperches. Environmental Biology of Fishes 8(3/4):217-229."
"1912","Lauth, R.R. 1987.","Spawning ecology and nesting behavior of the cabezon, Scorpaenichthys marmoratus (Ayres), in Puget Sound, Washington. M.S. Thesis, University of Washington. 104p."
"1913","Lauth, R.R. 1988.","Seasonal spawning cycle, spawning frequency, and batch fecundity of the cabezon, Scorpaenichthys marmoratus, in Puget Sound, Washington. Fishery Bulletin 87(1):145-154."
"1914","Lavenberg, R.J., G.E. McGowen, A.E. Jahn, J.H. Petersen, and T.C. Sciarrotta. 1986.","Abundance of southern California nearshore ichthyoplankton: 1978-1984. California Cooperative Oceanic Fisheries Investigations Reports 27:53-64."
"1915","Lea, R.N. and W.N. Eschmeyer. 1988.","Case 2619: Scorpaenichthys marmoratus Girard, 1854 (Osteichthyes, Scorpaeniformes): proposed conservation of the specific name and confirmation of authorship. Bulletin of Zoological Nomenclature 45(2):132-134."
"1916","Lea, R.N., R.D. McAllister, and D.A. Ven Tresca. 1999.","Biological aspects of nearshore rockfishes of the genus Sebastes from central California. California Department of Fish and Game, Fish Bulletin 177, 109 p."
"1917","Leet, W.S., C.M. Dewees, and C.W. Haugen (Editors). 1992.","California's living marine resources and their utilization. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12. 257 p."
"1918","Leithiser, R.M. 1981.","Distribution and seasonal abundance of larval fishes in a pristine southern California salt marsh. Rapports et proces-verbaux des reunions. Commission internationale pour l'Exloration scientifique de la Mer Medierranee 178:174-175."
"1919","Lenarz, W.H. and T.W. Echeverria. 1991.","Sexual dimorphism in Sebastes. Environmental Biology of Fishes 30:71-80."
"1920","Leos, R. 1992.","Sanddabs. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 104-105. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1921","Leos, R. 1999.","A rose(fish) by any other name would smell. California Department of Fish and Game, California Groundfish Samplers' Newsletter, April 1999, Volume 2, No. 2."
"1922","Levy, D.A. 1990.","Sex ratio variation in surf smelt, Hypomesus pretiosus, gillnet catches due to differences in mesh size. Journal of Fish Biology 37:493-494."
"1923","Limbaugh, C. 1955.","Fish life in the kelp beds and the effects of kelp harvesting. Institute of Marine Resources, University of California La Jolla, IMR Reference 55-9, 158 p."
"1924","Limbaugh 19??","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1925","Limbaugh, C. 1956.","Cleaning symbiosis among motile organisms, its importance in biology. Paper, Western Society of Naturalists, December 27, 1956, Santa Barbara, California. 4 p."
"1926","Limbaugh, C. 1961.","Cleaning symbiosis. Scientific American 1961(August):2-9."
"1927","Limbaugh, C. 1964.","Notes on the life history of two Californian pomacentrids: Garabaldis, Hypsypops rubicunda (Girard), and blacksmiths, Chromis punctipinnis (Cooper). Pacific Science 18:41-50."
"1928","Liston, J., J. Peters, and J.A. Stern. 1960.","Parasites in summer-caught Pacific rockfishes. U. S. Fish and Wildlife Service. Special Scientific Report-Fisheries, Report No. 352. Washington D.C."
"1929","Lloyd, L.C. 1938.","Some digenetic trematodes from Puget Sound fish. The Journal of Parasitology. 24(2):103-125."
"1930","Lockley, A.S. 1952.","Description of the young of the kyphosid fish, Hermosilla azurea, from California. Copeia 1952(1):42."
"1931","Long, D.J. 1996.","First confirmed record of teleost predation on a shark egg case. California Department of Fish and Game 82(2):103-104."
"1932","Love, M.S. and A.W. Ebeling. 1978.","Food and habitat of three switch-feeding fishes in the kelp forests off Santa Barbara, California. Fishery Bulletin 76(1):257-271."
"1933","Love, M.S. and K. Johnson. 1998.","Aspects of the life histories of grass rockfish, Sebastes rastrelliger, and brown rockfish, S. auriculatus, from southern California. Fishery Bulletin 87:100-109."
"1934","Love, M.S. and R.J. Larson. 1978.","Geographic variation in the occurrence of tympanic spines and possible genetic differentiation in the kelp rockfish (Sebastes atrovirens). Copeia 1978(1):53-59."
"1935","Love, M. & Lea 1997","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1936","Love, M.S. and M. Moser. 1983.","A checklist of parasites of California, Oregon, and Washington marine and estuarine fishes. NOAA Technical Report NMFS SSRF-777, 577 p."
"1937","Love, M.S. and W.V. Westphal. 1981.","Growth, reproduction, and food habits of olive rockfish, Sebastes serranoides, off central California. Fishery Bulletin 79(3):533-545."
"1938","Love, M.S. and W. Westphal. 1990.","Comparison of fishes taken by a sportfishing party vessel around oil platforms and adjacent natural reefs near Santa Barbara, California. Fishery Bulletin 88(3):599-605."
"1939","Love, M.S. 1978.","Aspects of the life history of the olive rockfish (Sebastes serranoides). Ph.D. Thesis, University of California Santa Barbara. 185 p."
"1940","Love, M.S. 1980.","Isolation of olive rockfish, Sebastes serranoides, populations off southern California. Fishery Bulletin 77(4):975-983."
"1941","Love, M. 1986","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1942","Love, M. 1992.","California scorpionfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 133-135. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1943","Love, M. 1996.","Probably More Than You Want To Know About The Fishes Of The Pacific Coast. Really Big Press, Santa Barbara, California, 381 p."
"1944","Love, M.S. and A. Brooks. 1990.","Size and age at first maturity of the California halibut, Paralichthys californicus in the Southern California Bight. California Department of Fish and Game, Fish Bulletin 174:167-174."
"1945","Love, M.S., B. Axell, P. Morris, R. Collins, and A. Brooks. 1987.","Life history and fishery of the California scorpionfish, Scorpaena guttata, within the southern California bight. Fishery Bulletin 85(1):99-115."
"1946","Love, M.S., P. Morris, M. McCrae, and R. Collins. 1990.","Life history aspects of 19 rockfish species (Scorpaenidae: Sebastes) from the Southern California Bight. NOAA Technical Report No. 87, 38 p."
"1947","Love, M., D. Teebken-Fisher, J.E. Hose, J.J. Framer III, and G.R. Fanning. 1981.","Vibrio damsela, a marine bacterium, causes skin ulcers in the damselfish Chromis punctipinnis. Science 214:1139-1140."
"1948","Love, M.S., G.E. McGowen, W. Westphal, R.J. Lavenberg, and K. Martin. 1984.","Aspects of the life history and fishery of the white croaker, Genyonemus lineatus (Sciaenidae), off California. Fishery Bulletin 82(1):179-198."
"1949","Love, M.S., J.S. Stephens Jr., P. Morris, M.M. Singer, M. Sandhu, and T.C. Sciarrotta. 1986.","Inshore soft substrate fishes in the southern California Bight: An overview. California Cooperative Oceanic Fisheries Investigations Reports 27:84-106."
"1950","Love, M.S., A. Brooks, D. Busatto, J.S. Stephens Jr., and P.A. Gregory. 1996.","Aspects of the life histories of the kelp bass, Paralabrax clathratus, and barred sand bass, Paralabrax nebulifer, from the southern California Bight. Fishery Bulletin 94(3):472-481."
"1951","Love, M.S., L. Thorsteinson, C.W. Mecklenburg, and T.A. Mecklenburg. In Preparation (January 2000).","A checklist of marine and estuarine fishes of the Northeast Pacific, from Alaska to Baja California. National Biological Service. Located at website http://id-www.ucsb.edu/lovelab/home.html"
"1952","Love, M.S., J.E. Caselle, and K. Herbinson. 1998.","Declines in nearshore rockfish recruitment and population in the southern California Bight as measured by impingement rates in coastal electrical power generating stations. Fishery Bulletin 96(3):492-501."
"1953","Love, M., A.J. Brooks, and J.R.R. Ally. 1996.","An analysis of commercial passenger fishing vessel fisheries for kelp bass and barred sand bass in the southern California Bight. California Department of Fish and Game 82(6):105-121."
"1954","Love, M.S., M.H. Carr, and L.J. Haldorson. 1991.","The ecology of substrate-associated juveniles of the genus Sebastes. Environmental Biology of Fishes 30:225-243."
"1955","Low, C.J. and R.J. Beamish. 1978.","A study of the nesting behavior of lingcod (Ophiodon elongatus) in the Strait of Georgia, British Columbia. Canadian Fisheries and Marine Service Technical Report No. 843, 27 p."
"1956","Lowe, C.G., R.N. Bray, and D.R. Nelson. 1994.","Feeding and associated electrical behavior of the Pacific electric ray Torpedo californica in the field. Marine Biology 120:161-169."
"1957","Lowe, C.G., C.L. Snellen, and D. Topping. 2000.","Home range and habitat preferences of kelp bass (Paralabrax clathratus) in Big Fisherman's Cove marine reserve, Santa Catalina Island, California. Abstract, 80th Annual Meeting American Society of Ichthyologists and Herpetologists. June 14-20, 2000 La Paz, B.C.S., Mexico. p 235."
"1958","Luckinbill, L.S. 1969.","Distribution and feeding relationships of the flatfishes Pleuronichthys verticalis and P. ritteri. M.S. Thesis, San Diego State University. 81 p."
"1959","Macdonald, C.K. 1975.","Notes on the family Gobiidae from Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:117-122."
"1960","Mace, P.M. 1983.","Predator-prey functional responses and predation by staghorn sculpins (Leptocottus armatus) on chum salmon fry (Oncorhynchus keta). Ph.D. Thesis, University of British Columbia, Vancouver. 695 p."
"1961","MacGinitie, G.E. 1935.","Ecological aspects of a California marine estuary. The American Midland Naturalist 16(5):629-765."
"1962","MacGregor, J.S. 1970.","Fecundity, multiple spawning, and description of the gonads in Sebastodes. U.S. Fish and Wildlife Service, Report No. 596, 12 p."
"1963","MacGregor, J.S. 1983.","Growth of the blue rockfish (Sebastes mystinus). California Cooperative Oceanic Fisheries Investigations Reports 24:216-225."
"1964","Mahan, W.T. 1985.","Initial growth rate and life expectancy of the bay pipefish Syngnathus leptorynchus from Humbolt Bay, California. Humbolt State University, Report No. TML-11."
"1965","Manter, H.W. 1940","Digenetic trematodes of fishes from the Galapagos Islands and the neighboring Pacific. Allan Hancock Pacific Expeditions 2(14):329-496."
"1966","Manter, H.W. and H.J. VanCleave. 1951.","Some digenetic trematodes, including eight new species, from marine fishes of La Jolla, California. Proceedings of the U.S. National Museum 101:315-340."
"1967","Manzer, J.I. 1946.","Interesting movements as shown by the recoveries of certain species of tagged fish. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 67:31."
"1968","Manzer, J.I. 1947.","A July spawning population of sand soles in Sydney Inlet. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 73:70-71."
"1969","Marais, J.F.K. 1980.","Aspects of food intake, food selection, and alimentary canal morphology of Mugil cephalus (Linnaeus, 1958), Liza tricuspidens (Smith, 1935), L. richardsoni (Smith, 1846), and L. dumerili (Steindachner, 1869). Journal of Experimental Marine Biology and Ecology 44:193-209."
"1970","Margulies, D. 1989.","Size-specific vulnerability to predation and sensory system development of white seabass, Atractoscion nobilis, larvae. Fishery Bulletin 87(3):537-552."
"1971","Marliave, J.B. and E. DeMartini. 1977.","Parental behavior of intertidal fishes of the stichaeid genus Xiphister. Canadian Journal of Zoology 55:60-63."
"1972","Marliave, J.B. 1975a.","The behavioral transformations from the planktonic larval stage of some marine fishes reared in the laboratory. Ph.D. Thesis, University of British Columbia, Vancouver. 231 p."
"1973","Marliave, J.B. 1978.","Laboratory culture of wolf eels. Annual Proceedings of the American Association of Zoological Parks and Aquariums, p. 160-167."
"1974","Marshall, W.H. and T. Wyllie Echeverria. 1992.","Age, length, weight, reproductive cycle and fecundity of the monkeyface prickleback (Cebidichthys violaceus). California Department of Fish and Game 78(2):57-64."
"1975","Martin, W.E. 1978.","Digenetic trematodes of the marine fish, Girella nigricans (Ayres), from southern California with the description of two new species. Proceedings of the Helminthological Society of Washington 45(2):175-181."
"1976","Martin, L.K. 1982.","Growth and reproduction of the bat ray Myliobatis californicus Gill, in California. M.A. Thesis, San Jose State University, 87 p."
"1977","Martin, K.L.M. 1993.","Aerial release of CO2 and respiratory exchange ratio in intertidal fishes out of water. Environmental Biology of Fishes 37:189-196."
"1978","Martin, K.L.M. 1995.","Time and tide wait for no fish: intertidal fishes out of water. Environmental Biology of Fishes 44:165-181."
"1979","Martin, L.K. and G.M. Cailliet. 1988a.","Age and growth determination of the bat ray, Myliobatis californica Gill, in central California. Copeia 1988(3):762-773."
"1980","Martin, L.K. and G.M. Cailliet. 1988b.","Aspects of the reproduction of the bat ray, Myliobatis californica, in Central California. Copeia 1988(3):754-762."
"1981","Martin, L. and G.D. Zorzi. 1993.","Status and review of the California skate fishery. In: S. Branstetter (Editor), Conservation Biology Of Elasmobranchs, p. 39-52. NOAA Technical Report NMFS volume 115."
"1982","Matarese, A.C., A.W. Kendall, Jr., D.M. Blood, and B.M. Vinter. 1989.","Laboratory guide to early life history stages of northeast Pacific fishes. NOAA Technical Report No. 80. 652 p."
"1983","Mathews, C.P. 1975.","Note on the ecology of the ratfish, Hydrolagus collei, in the Gulf of California. California Department of Fish and Game 61(1):47-53."
"1984","Mathews, S.B. and M. LaRiviere. 1987.","Movement of tagged lingcod, Ophiodon elongatus, in the Pacific Northwest. Fishery Bulletin 85:153-159."
"1985","Mathews, S.B., M. LaRiviere, M.W. Barker, and L.L. Moulton. 1979.","Preliminary results of lingcod tagging in northern Puget Sound, 1977-1979. Fisheries Research Institute, University of Washington, Circular No. 79-3, 24 p."
"1986","Matthews, K.R. 1985.","Species similarity and movements of fishes on natural and artificial reefs in Monterey Bay, California. Bulletin of Marine Science 37(1):252-270."
"1987","Matthews, K.R. 1986.","Movement of two nearshore, territorial rockfishes previously reported as non-movers and implicati0ons to management. California Department of Fish and Game 72(2):103-109."
"1988","Matthews, K.R. 1990b.","An experimental study of the habitat preference and movement patterns of copper, quillback, and brown rockfishes (Sebastes spp.). Environmental Biology of Fishes 30:161-178."
"1989","Matthews, K.R. 1990c.","A telemetric study of the home ranges and homing routes of copper and quillback rockfishes on shallow rocky reefs. Canadian Journal of Zoology 68:2243-2250."
"1990","Matthews, K.R. 1990a.","A comparartive study of habitat use by young-of-the-year, subadult, and adult rockfishes on four habitat types in central Puget Sound. Fishery Bulletin 88(2):223-239."
"1991","Matthews, K.R. 1992.","A telemetric study of the home ranges and homing routes of lingcod Ophiodon elongatus on shallow rocky reefs off Vancouver Island, British Columbia. Fishery Bulletin 90(4):784-790."
"1992","Matthews, K.R., B.S. Miller, and T.P. Quinn. 1986.","Movement studies of nearshore demersal rockfish in Puget Sound, Washington. In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p 63-72."
"1993","Maxwell, W.D. 1975.","The croakers of California. State of California Marine Resources Leaflet No. 8, 16 p."
"1994","Maxwell, W.D. 1977.","Progress report of research on white seabass, Cynoscion nobilis. Marine Resources Administrative Report Report No. 77-14. 13 p."
"1995","MBC Applied Environmental Sciences. 1987.","Ecology of important fisheries species offshore California. U.S. Department of the Interior, Minerals Management Service, Pacific OCS Region, Los Angeles, CA. MMS Contract No. 14-12-0001-30294"
"1996","McAllister, D.E. 1968.","Poisonous and venomous fish of Canada. Natural History Papers of the National Museum of Canada No. 42:1-11."
"1997","McCain, B.B., S.-L. Chan, M.M. Krahn, D.W. Brown, M.S. Myers, J.T. Landahl, S. Pierce, R.C. Clark Jr., and U. Varanasi. 1992.","Chemical contamination and associated fish disease in San Diego Bay. Environmental Science and Technology 26(4):725-733."
"1998","McCall, J.N. 1992.","Source of harpacticoid copepods in the diet of juvenile starry flounder. Marine Ecology Progress Series 86:42-50."
"1999","McClure, R.E. 1982.","Neritic reef fishes off central Oregon: Aspects of life histories and the recreational fishery. M.S. Thesis, Oregon State University. 94 p."
"2000","McFarlane, G.A. and R.J. Beamish. 1986.","A tag suitable for assessing long-term movements of spiny dogfish and preliminary results from use of this tag. North American Journal of Fisheries Management 6(1):69-76."
"2001","McFarlane, G.A. and R.J. Beamish. 1987.","Validation of the dorsal spine method of age determination for spiny dogfish. In: R.C. Summerfelt and G.E. Hall (Editors), The Age and Growth of Fish, p 287-300. The Iowa State University Press, Ames, Iowa."
"2002","McKay, R.J. and M. Schneider. 1995.","Haemulidae. In: F.Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter, and V.H. Niem (Editors), Guia FAO para la identificacion de especies para los fines de la pesca. Pacifico centro-oriental. Volumen 2. Vertebrados-parte 1. FAO, Rome [In Spanish]. Pages 1136-1173."
"2003","Mearns, A.J., M.J. Allen, M.D. Moore, and M.J. Sherwood. 1980.","Distribution, abundance, and recruitment of soft-bottom rockfishes (Scorpaenidae; Sebastes) of the southern California mainland shelf. California Cooperative Oceanic Fisheries Investigations Reports 21:180-190."
"2004","Menasveta, D. 1958.","Migration and fishing mortality of English sole (Parophrys vetulus) in Saratoga Passage, and adjacent waters. M.S. Thesis, University of Washington. 84 p."
"2005","Merkel, T.J. 1957.","Food habits of the king salmon Oncorhynchus tshawytscha (Walbaum), in the vicinity of San Francisco, California. California Department of Fish and Game 43(4):249-270."
"2006","Middaugh, D.P. and J.M. Shenker. 1988.","Salinity tolerance of young topsmelt, Atherinops affinis, cultured in the laboratory. California Department of Fish and Game 74(4):232-235."
"2007","Middaugh, D.P., H.W. Kohl, and L.E. Burnett. 1983.","Concurrent measurement of intertidal environmental variables and embryo survival for the California grunion, Leuresthes tenuis, and Atlantic silverside, Mendia menidia (Pisces: Atherinidae). California Department of Fish and Game, Fish Bulletin 69(2):89-96."
"2008","Middaugh, D.P., M.J. Hemmer, and D.E. Penttila. 1987.","Embryo ecology of the Pacific surf smelt, Hypomesus pretiosus (Pisces: Osmeridae). Pacific Science 41:44-53."
"2009","Middaugh et al. 1988","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2010","Middaugh, D.P., M.J. Hemmer, J.M. Shenker, and T. Takita. 1990.","Laboratory culture of jacksmelt, Atherinopsis californiensis, and topsmelt, Atherinops affinis (Pisces: Atherinidae), with a description of larvae. California Department of Fish and Game 76(1):4-13."
"2011","Miller, D.J. and R.N. Lea. 1972.","Guide to the coastal marine fishes of California. California Department of Fish and Game, Fish Bulletin 157, 249 p."
"2012","Miller, K.A. and W.H. Marshall. 1987.","Food habits of large monkeyface prickleback, Cebidichthys violaceus. California Department of Fish and Game 73(1):37-44."
"2013","Miller, A.H. 1943.","Census of a colony of Caspian terns. Condor 45(6):220-225."
"2014","Miller, D.J. 1960a.","Blue Rockfish. In: California Ocean Fisheries Resources of the Year 1960, p 38-39. California Department of Fish and Game. 79 p."
"2015","Miller, D.J. 1960b.","Olive rockfish. In: California Ocean Fisheries Resources to the year 1960, p 40. California Department of Fish and Game. 79 p."
"2016","Miller, D.J. 1960c.","Redtail surfperch. In: California Ocean Fisheries Resources, p 62-63. California Department of Fish and Game. 79 p."
"2017","Miller, D.J. 1960d.","Surfperches, Family Embiotocidae: Central and northern California. In: California ocean fisheries resources to the year 1960, p 61. California Department of Fish and Game. 79 p."
"2018","Miller, B.S. 1965.","Food and feeding studies on adults of two species of pleuronectids (Platichthys stellatus and Psettichthys melanostictus) in East Sound, Orcas Island (Washington). M.S. Thesis, University of Washington. 131 p."
"2019","Miller, B.S. 1967.","Stomach contents of the adult starry flounder and sand sole in East Sound, Orcas Island, Washington. Journal of the Fisheries Board of Canada 24(12):2515-2526."
"2020","Miller 1982","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2021","Miller, P.P. 1985.","Life history study of the shortspine thornyhead, Sebastolobus alascanus, at Cape Ommaney, Southeatern Alaska. M.S. Thesis, University of Alaska, Juneau."
"2022","Miller, D.J. and J.J. Geibel. 1973.","Summary of blue rockfish and lingcod life histories; a reef ecology study; and giant kelp, Macrocystis pyrifera, experiments in Monterey Bay, California. California Department of Fish and Game, Fish Bulletin 158, 137 p."
"2023","Miller, D.J., M.W. Odemar, and D.W. Gotshall. 1967.","Life history and catch analysis of the blue rockfish (Sebastodes mystinus) off central California, 1961-1965. California Department of Fish and Game, Marine Resources Operations Reference 67-14, 130 p."
"2024","Misitano, D.A. 1976.","Size and stage of development of larval English sole, Parophrys vetulus, at time of entry into Humbolt Bay. California Department of Fish and Game 62(1):93-98."
"2025","Mitchell, C.T. and J.R. Hunter. 1970.","Fishes associated with drifting kelp, Macrocystis pyrifera, off the coast of southern California and northern California. California Department of Fish and Game 56(4):288-297."
"2026","Mitchell, D.F. 1953.","An analysis of stomach contents of California tide pool fishes. The American Midland Naturalist 49(3):862-871."
